Year (CE),Vance22,Porter21,Linsley08,Godkin21,Buckley19
750,1.880551502,,,,
751,1.707344543,,,,
752,1.555175787,,,,
753,1.432909621,,,,
754,1.342703295,,,,
755,1.268349644,,,,
756,1.267010731,,,,
757,1.2755683,,,,
758,1.342659954,,,,
759,1.428252551,,,,
760,1.508902554,,,,
761,1.642676518,,,,
762,1.339182769,,,,
763,0.992622409,,,,
764,0.679079653,,,,
765,0.39311387,,,,
766,0.317487998,,,,
767,0.352926127,,,,
768,0.458060674,,,,
769,0.562713516,,,,
770,0.674703089,,,,
771,0.720929812,,,,
772,0.762665395,,,,
773,0.715776596,,,,
774,0.661562092,,,,
775,0.555364901,,,,
776,0.407951527,,,,
777,0.326009173,,,,
778,0.38442635,,,,
779,0.460679993,,,,
780,0.567356968,,,,
781,1.198373692,,,,
782,1.399821867,,,,
783,1.507284898,,,,
784,1.286140852,,,,
785,1.075427892,,,,
786,0.766070588,,,,
787,0.499227234,,,,
788,0.207916799,,,,
789,-0.05610518,,,,
790,-0.259736491,,,,
791,-0.448076502,,,,
792,-0.501517194,,,,
793,-0.51561646,,,,
794,-0.472591115,,,,
795,-0.434014298,,,,
796,-0.344889758,,,,
797,-0.221027971,,,,
798,0.017740008,,,,
799,-0.151182287,,,,
800,0.18451468,,,,
801,0.532396245,,,,
802,0.81552888,,,,
803,1.145752756,,,,
804,0.984234545,,,,
805,0.615877641,,,,
806,0.276631839,,,,
807,0.034819456,,,,
808,-0.018288541,,,,
809,0.426188532,,,,
810,0.406576397,,,,
811,0.37984652,,,,
812,0.470432409,,,,
813,0.691603959,,,,
814,1.018824371,,,,
815,1.37183983,,,,
816,1.065120536,,,,
817,0.756640217,,,,
818,0.480068327,,,,
819,0.276397633,,,,
820,0.149419944,,,,
821,0.086756481,,,,
822,0.087029471,,,,
823,0.123891569,,,,
824,0.186246254,,,,
825,0.267479258,,,,
826,0.348414573,,,,
827,0.367842512,,,,
828,0.393021061,,,,
829,-0.019954969,,,,
830,0.11416756,,,,
831,0.189409486,,,,
832,0.239932055,,,,
833,0.257134493,,,,
834,0.279027893,,,,
835,0.242140786,,,,
836,0.120560237,,,,
837,-0.042109308,,,,
838,-0.251042044,,,,
839,-0.499943367,,,,
840,-0.230711544,,,,
841,-0.191476584,,,,
842,-0.123543282,,,,
843,-0.053926013,,,,
844,0.008503476,,,,
845,0.095733069,,,,
846,0.131672219,,,,
847,0.154521973,,,,
848,0.164865548,,,,
849,0.125355765,,,,
850,0.061140429,,,,
851,0.025231764,,,,
852,-0.006320302,,,,
853,-0.023704617,,,,
854,0.038988135,,,,
855,0.174310795,,,,
856,0.410371787,,,,
857,0.501123995,,,,
858,0.644620427,,,,
859,1.116668467,,,,
860,1.317647384,,,,
861,0.886960624,,,,
862,0.50202204,,,,
863,0.576963129,,,,
864,0.595805987,,,,
